year,birth_country,race,sex,family_size,age_1stchild,evpoverty,income,networth,empstatus
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"24","",-1,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"29","",43000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","",-1,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"24","",-1,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"No children yet","Yes",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"32","Yes",95000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"26","Yes",49500,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"20","Yes",61000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","Yes",45000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"32","Yes",85000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"33","Yes",70000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",32000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"19","Yes",25940,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"18","Yes",53500,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"29","Yes",52000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"29","Yes",35000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"21","Yes",80000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",110000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"27","Yes",48000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"28","Yes",50000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","Yes",56500,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","Yes",16000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","Yes",500,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"32","Yes",41000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"27","Yes",42000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","Yes",312324,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"31","Yes",92000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"24","Yes",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"23","Yes",36000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","Yes",110000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"29","Yes",22000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",77000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"24","Yes",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"20","Yes",55000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"18","Yes",75000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"19","Yes",18000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"21","Yes",32000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"27","Yes",98000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"17","Yes",11000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"29","Yes",33000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"27","Yes",125000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"21","Yes",18000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"19","Yes",10000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"18","Yes",7000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","Yes",26000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"19","Yes",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"34","Yes",8000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"21","Yes",28000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"27","Yes",15000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"32","Yes",58000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"18","Yes",9000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"28","Yes",80000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",28000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"26","Yes",1000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",74000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"33","Yes",115000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"22","Yes",32000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"17","Yes",22000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",20000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"29","Yes",30000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","Yes",160000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"31","Yes",100000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"22","Yes",39000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"27","Yes",312324,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","Yes",52550,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","Yes",1500,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"32","Yes",30000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"No children yet","Yes",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"20","Yes",19000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"23","Yes",23000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"31","Yes",28000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","Yes",6700,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"31","Yes",78000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"23","Yes",12740,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"25","Yes",25000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"30","Yes",-4,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"34","Yes",85000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"18","Yes",28000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"25","Yes",66000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"No children yet","Yes",2200,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"24","Yes",35000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"17","Yes",19000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"25","Yes",49000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"28","Yes",20000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"43","Yes",61000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"29","Yes",42000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"29","Yes",30000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",72000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"32","Yes",62000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"20","Yes",6068,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"23","Yes",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"24","Yes",20000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"17","Yes",26000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"35","Yes",19800,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"17","Yes",24887,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"28","Yes",32000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"28","Yes",25000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"21","Yes",94000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"30","Yes",125000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"28","Yes",132000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"26","Yes",35000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"17","Yes",12000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"No children yet","Yes",59000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"26","Yes",71000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"14","Yes",38000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"36","Yes",50000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"25","Yes",32280,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"35","Yes",55500,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"20","Yes",15000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"17","Yes",117000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"19","Yes",65000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"23","Yes",28000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"19","Yes",22000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"21","Yes",22500,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"26","Yes",118000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"21","Yes",1500,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"28","Yes",15000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"28","Yes",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"29","Yes",104000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",52000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","Yes",59000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"24","Yes",99000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"16","Yes",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"21","Yes",39000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"17","Yes",47000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"19","Yes",26000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"17","Yes",10000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","Yes",35000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"22","Yes",72000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"35","Yes",1500,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"28","Yes",120000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"22","Yes",6380,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"28","Yes",62000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"34","Yes",13000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"No children yet","Yes",-2,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"23","Yes",23000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"21","Yes",26000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"18","Yes",4000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"17","Yes",5433,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",1900,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",-1,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"18","Yes",20000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"27","Yes",-2,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","Yes",41000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"20","Yes",10000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"18","Yes",7000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"19","Yes",45000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","Yes",60950,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"19","Yes",23000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"23","Yes",29000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","Yes",25000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"23","Yes",2380,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"18","Yes",80000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"30","No",90300,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"17","No",41999,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"27","No",52000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","No",95000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"31","No",64000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","No",50000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"19","No",60000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"No children yet","No",312324,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"30","No",32760,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"27","No",16000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"29","No",30000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"31","No",44000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"No children yet","No",97500,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"37","No",60000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"43","No",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"37","No",130000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"19","No",29120,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","No",68000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"23","No",55000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"21","No",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"24","No",97000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","No",45200,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"31","No",46000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"32","No",140000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"36","No",312324,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"27","No",146000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"39","No",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"45","No",110000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","No",110000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"30","No",30000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"26","No",85000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","No",44000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"24","No",46000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"24","No",112000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"27","No",-1,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"33","No",71000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","No",52000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"No children yet","No",110000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","No",51000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"36","No",65000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"26","No",94000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"22","No",38000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"26","No",30000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"31","No",25000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"26","No",45000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"23","No",79300,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","No",115000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"29","No",80000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"30","No",90000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"26","No",312324,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"26","No",3500,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"34","No",80000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","No",60000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",6,"23","No",78000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"27","No",14000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"22","No",90000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"25","No",12000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","No",43000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"27","No",105000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"No children yet","No",104000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"23","No",54000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"23","No",120000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"30","No",67000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"24","No",20000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"22","No",30000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"34","No",75000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"25","No",34000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"38","No",35169,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"32","No",56000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"26","No",-2,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","No",130000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"27","No",-2,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"35","No",50000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"37","No",140000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","No",45000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"31","No",20000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","No",9000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"36","No",65000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"30","No",100000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","No",157000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"30","No",312324,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"No children yet","No",116290,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"32","No",48000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"27","No",12000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"26","No",50000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"25","No",108000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"23","No",60000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"20","No",6000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"24","No",63000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"37","No",95000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",6,"30","No",312324,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"27","No",28000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"33","No",59000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"25","No",50000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"21","No",27000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"23","No",43680,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"20","No",50000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"No children yet","No",420,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",2,"20","No",50000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"20","No",48000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"26","No",2220,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"32","No",45100,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"30","No",41000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"22","No",150000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"33","No",100000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"30","No",14000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"32","No",312324,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"34","No",6000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"32","No",12000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"27","No",312324,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","No",59961,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"36","No",100000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",4,"32","No",141000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"27","No",85000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",7,"25","No",16000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","No",62000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"27","No",56000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"37","No",70000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"26","No",70000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"28","No",14000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"19","No",70000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"25","No",162780,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"23","No",21000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",6,"24","No",45000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"21","No",20000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"27","No",60000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"24","No",50000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",3,"35","No",28000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",5,"27","No",50000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"27","No",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",2,"No children yet","No",21000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"23","No",22000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"32","No",83000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",4,"35","No",17000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"31","No",71000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",5,"27","No",40000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",1,"No children yet","No",26000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","MALE",1,"No children yet","No",79000,,""
2010,"IN THE US","NON-BLACK, NON-HISPANIC","FEMALE",3,"35","No",50500,,""
